	Problem_Word_POS	Edit_TYPE	Distance	Count
0	VERB	U:PREP	-1	66
1	NOUN	R:PREP	-1	61
2	VERB	R:PREP	-1	59
3	NOUN	U:DET	1	59
4	NOUN	R:OTHER	1	53
5	NOUN	R:PREP	2	50
6	VERB	R:VERB	1	48
7	ADV	R:WO	1	48
8	NOUN	R:OTHER	2	45
9	NOUN	U:DET	2	41
10	VERB	M:PREP	-1	40
11	NOUN	R:VERB	2	39
12	VERB	R:OTHER	1	39
13	NOUN	R:OTHER	3	36
14	NOUN	R:NOUN	1	34
15	NOUN	R:PREP	3	29
16	NOUN	U:OTHER	3	27
17	ADV	R:WO	2	27
18	NOUN	R:DET	1	27
19	NOUN	R:VERB	3	27
20	ADJ	R:PREP	-1	27
21	NOUN	U:OTHER	2	25
22	ADV	U:ADV	1	23
23	ADJ	R:OTHER	2	23
24	NOUN	R:PREP	1	22
25	VERB	R:OTHER	2	22
26	ADJ	R:OTHER	1	21
27	VERB	R:VERB:TENSE	1	19
28	ADV	R:OTHER	1	18
29	VERB	R:OTHER	-1	18
30	VERB	U:PART	-1	16
31	NOUN	M:DET	1	16
32	NOUN	R:VERB	4	15
33	NOUN	R:VERB:FORM	-2	15
34	NOUN	R:ADJ	1	15
35	VERB	M:PART	-1	15
36	VERB	R:PART	-1	15
37	NOUN	R:OTHER	4	15
38	VERB	U:PRON	-1	14
39	NOUN	U:OTHER	4	14
40	ADJ	R:ADJ	1	14
41	NOUN	R:PART	-1	14
42	ADJ	R:VERB	1	13
43	NOUN	U:OTHER	1	13
44	VERB	R:VERB:FORM	-1	13
45	NOUN	M:OTHER	2	12
46	NOUN	R:VERB	1	12
47	NOUN	R:NOUN:NUM	1	10
48	VERB	R:PREP	-2	10
49	VERB	R:VERB:FORM	-3	10
50	ADV	R:OTHER	2	10
51	ADJ	R:OTHER	3	10
52	NOUN	U:DET	3	10
53	NOUN	U:PREP	-1	9
54	NOUN	R:OTHER	5	9
55	VERB	R:PART	-2	9
56	VERB	R:OTHER	-2	9
57	VERB	R:OTHER	3	9
58	ADV	R:ADV	1	9
59	PRON	R:VERB:SVA	-1	9
60	NOUN	U:OTHER	6	9
61	VERB	R:VERB:FORM	-2	9
62	VERB	M:PRON	-1	9
63	NOUN	R:VERB:SVA	-1	9
64	NOUN	U:OTHER	5	9
65	NOUN	M:OTHER	3	8
66	VERB	R:PREP	-3	8
67	ADV	U:PREP	1	8
68	NOUN	R:DET	2	8
69	NOUN	R:PREP	4	8
70	VERB	R:VERB	2	8
71	ADV	R:OTHER	-1	8
72	NOUN	M:OTHER	1	8
73	VERB	M:PREP	-2	8
74	VERB	U:ADV	-1	7
75	NOUN	U:PREP	3	7
76	ADJ	R:VERB:FORM	-2	7
77	DET	R:WO	1	7
78	ADJ	R:PART	-1	7
79	ADJ	R:OTHER	4	7
80	ADV	R:WO	-1	7
81	DET	R:NOUN:NUM	-1	6
82	NOUN	U:OTHER	7	6
83	ADV	R:OTHER	6	6
84	NOUN	M:PREP	-1	6
85	VERB	U:VERB:TENSE	1	6
86	ADV	R:OTHER	4	6
87	ADV	M:ADV	-3	6
88	ADJ	U:DET	1	6
89	NOUN	R:OTHER	-1	6
90	ADP	U:PREP	1	6
91	NOUN	R:VERB:SVA	-3	6
92	VERB	U:VERB	1	6
93	ADJ	U:ADV	1	6
94	ADV	M:ADV	-1	5
95	NOUN	R:NOUN	2	5
96	ADJ	R:PREP	-2	5
97	ADJ	R:VERB	2	5
98	VERB	M:OTHER	-4	5
99	NOUN	U:OTHER	8	5
100	VERB	U:OTHER	3	5
101	VERB	U:OTHER	4	5
102	ADV	R:WO	3	5
103	VERB	M:OTHER	-2	5
104	ADJ	R:ADV	1	5
105	VERB	M:OTHER	-1	5
106	SCONJ	R:VERB:FORM	-1	5
107	ADV	R:OTHER	3	5
108	ADV	R:OTHER	5	5
109	ADP	R:OTHER	-1	5
110	ADP	R:PREP	1	5
111	NOUN	U:PREP	2	5
112	NOUN	R:VERB	-3	5
113	NOUN	M:OTHER	-1	5
114	VERB	M:VERB:TENSE	1	5
115	NOUN	R:DET	3	5
116	VERB	U:VERB:FORM	-2	5
117	NOUN	M:PREP	1	5
118	VERB	U:VERB	2	5
119	SCONJ	R:VERB:TENSE	-2	4
120	ADP	R:OTHER	-2	4
121	NOUN	M:NOUN	-1	4
122	VERB	R:ADV	-1	4
123	ADV	M:ADV	-5	4
124	ADV	M:ADV	-6	4
125	ADV	R:VERB:FORM	-1	4
126	ADJ	R:DET	1	4
127	VERB	U:OTHER	5	4
128	VERB	U:OTHER	-1	4
129	VERB	R:VERB:TENSE	-2	4
130	NOUN	R:MORPH	1	4
131	ADJ	R:MORPH	1	4
132	ADJ	M:VERB:FORM	-3	4
133	ADJ	U:NOUN	-1	4
134	ADV	R:WO	-2	4
135	ADV	U:PREP	3	4
136	NOUN	R:NOUN:NUM	-2	4
137	NOUN	U:ADJ	1	4
138	VERB	R:ADV	1	4
139	VERB	R:VERB:TENSE	2	4
140	NOUN	R:PRON	1	4
141	NOUN	U:NOUN	1	4
142	NOUN	R:VERB:FORM	-1	4
143	ADV	U:PREP	2	4
144	VERB	M:OTHER	-5	3
145	DET	R:VERB:SVA	-2	3
146	PRON	R:NOUN	1	3
147	ADJ	R:PREP	2	3
148	VERB	M:VERB	1	3
149	VERB	U:VERB	-1	3
150	ADJ	U:PREP	1	3
151	VERB	R:NOUN	-2	3
152	ADV	R:VERB:TENSE	-1	3
153	VERB	R:PREP	1	3
154	VERB	R:PREP	-4	3
155	VERB	R:VERB:TENSE	-3	3
156	ADJ	U:OTHER	-1	3
157	VERB	R:VERB:FORM	1	3
158	DET	R:OTHER	-3	3
159	ADJ	U:OTHER	2	3
160	DET	R:OTHER	1	3
161	ADJ	M:DET	1	3
162	ADJ	U:CONJ	-1	3
163	ADV	R:ADV	2	3
164	VERB	U:OTHER	2	3
165	DET	R:OTHER	2	3
166	ADV	U:PREP	-1	3
167	SCONJ	M:PREP	-1	3
168	ADV	M:ADV	1	3
169	ADV	M:ADV	-4	3
170	ADP	R:OTHER	1	3
171	DET	U:PREP	1	3
172	ADV	R:VERB:TENSE	-2	3
173	VERB	U:OTHER	1	3
174	NOUN	U:OTHER	9	3
175	NOUN	R:VERB	5	3
176	NOUN	U:NOUN	-1	3
177	NOUN	M:DET	3	3
178	PART	U:OTHER	2	3
179	NOUN	M:DET	2	3
180	NOUN	U:OTHER	10	3
181	NOUN	M:OTHER	4	3
182	AUX	R:VERB	1	3
183	PART	U:OTHER	1	3
184	SCONJ	U:PREP	-1	3
185	NOUN	R:VERB:FORM	-3	2
186	VERB	R:WO	-3	2
187	DET	R:DET	1	2
188	VERB	R:WO	-2	2
189	NOUN	R:MORPH	-2	2
190	ADV	R:VERB:TENSE	1	2
191	VERB	R:VERB:TENSE	-5	2
192	DET	M:PREP	1	2
193	NOUN	R:VERB	-2	2
194	VERB	R:VERB	3	2
195	ADV	M:DET	1	2
196	NOUN	M:OTHER	8	2
197	AUX	R:OTHER	2	2
198	CCONJ	R:WO	1	2
199	ADV	R:OTHER	-2	2
200	NOUN	R:VERB:SVA	-6	2
201	ADV	M:ADV	5	2
202	PART	R:WO	1	2
203	NOUN	R:VERB:SVA	2	2
204	ADV	R:WO	4	2
205	SCONJ	R:VERB:TENSE	-1	2
206	NOUN	M:OTHER	-2	2
207	VERB	M:PRON	1	2
208	NOUN	R:OTHER	7	2
209	NOUN	M:OTHER	-4	2
210	VERB	R:OTHER	-3	2
211	NOUN	M:OTHER	-3	2
212	NOUN	R:NOUN	-2	2
213	ADV	R:OTHER	7	2
214	NUM	U:PREP	-1	2
215	ADV	M:DET	-1	2
216	ADV	R:VERB	3	2
217	ADV	U:OTHER	1	2
218	ADV	R:PREP	-1	2
219	NOUN	R:OTHER	-2	2
220	DET	U:ADV	1	2
221	VERB	M:PART	-3	2
222	ADP	U:PREP	-1	2
223	NOUN	R:OTHER	-3	2
224	DET	U:OTHER	1	2
225	ADP	M:ADV	1	2
226	VERB	U:ADV	-2	2
227	NOUN	M:PREP	2	2
228	ADP	R:OTHER	4	2
229	VERB	R:MORPH	1	2
230	VERB	R:MORPH	-2	2
231	VERB	R:DET	-1	2
232	ADP	R:PREP	2	2
233	NOUN	R:OTHER	6	2
234	NOUN	U:PREP	1	2
235	VERB	R:PRON	1	2
236	ADV	U:OTHER	2	2
237	NOUN	R:OTHER	-4	2
238	VERB	U:VERB	3	2
239	ADV	R:VERB	5	2
240	NOUN	U:NOUN	-6	2
241	DET	R:OTHER	3	2
242	ADP	U:OTHER	1	2
243	ADV	M:OTHER	-1	2
244	ADV	M:OTHER	-4	2
245	ADV	M:OTHER	-3	2
246	NOUN	M:VERB	1	2
247	ADV	M:OTHER	1	2
248	ADV	M:OTHER	2	2
249	ADV	M:OTHER	3	2
250	ADV	R:DET	-1	2
251	AUX	U:ADV	-1	2
252	DET	R:WO	2	2
253	ADV	M:ADV	4	2
254	ADV	R:ADJ	-1	2
255	PART	R:WO	2	2
256	VERB	M:OTHER	-6	2
257	ADJ	U:PREP	-1	2
258	ADJ	R:OTHER	6	2
259	PRON	U:DET	6	2
260	VERB	M:OTHER	6	2
261	VERB	M:OTHER	5	2
262	ADJ	R:OTHER	-1	2
263	ADJ	R:VERB:FORM	-1	2
264	ADJ	M:PREP	-1	2
265	NOUN	M:ADJ	1	2
266	SCONJ	U:ADV	-2	2
267	ADJ	U:OTHER	3	2
268	VERB	M:VERB	-2	2
269	NOUN	R:VERB:TENSE	8	2
270	VERB	M:PREP	1	2
271	ADJ	R:OTHER	5	2
272	VERB	M:OTHER	-3	2
273	ADJ	R:WO	4	2
274	ADJ	R:WO	3	2
275	VERB	M:OTHER	-8	2
276	VERB	M:OTHER	-7	2
277	VERB	U:OTHER	6	2
278	VERB	U:OTHER	-3	2
279	ADJ	R:WO	5	2
280	ADJ	R:WO	1	2
281	ADJ	R:VERB:TENSE	2	2
282	PRON	R:WO	-1	2
283	PRON	R:NOUN	-3	2
284	ADJ	R:OTHER	-5	2
285	VERB	U:OTHER	-2	2
286	ADJ	R:VERB	3	2
287	ADJ	M:NOUN	-1	2
288	VERB	M:VERB	-4	2
289	ADP	R:NOUN	-2	2
290	NOUN	R:VERB:TENSE	4	2
291	ADV	R:VERB:FORM	1	2
292	NOUN	noop	16	2
293	ADV	M:ADV	-7	2
294	SCONJ	R:VERB:FORM	-3	2
295	ADV	M:ADV	-2	2
296	NOUN	R:NOUN:INFL	1	2
297	ADV	M:ADV	2	2
298	PRON	R:OTHER	1	2
299	NOUN	R:ADJ	2	2
300	NOUN	U:DET	4	2
301	ADV	R:VERB:FORM	-2	2
302	SCONJ	R:PREP	-8	2
303	PART	M:OTHER	-2	2
304	PART	M:OTHER	-1	2
305	VERB	U:PREP	1	2
306	VERB	R:WO	1	1
307	VERB	M:VERB:FORM	-3	1
308	VERB	M:PRON	3	1
309	INTJ	M:OTHER	-13	1
